District,Date,Daily Rainfall (m.m),Progressive (m.m)
Beed,01-09-2025,0.1,479.1
Beed,02-09-2025,1,481.7
Beed,03-09-2025,5.4,487
Beed,04-09-2025,0,486.9
Beed,05-09-2025,0.2,487.1
Beed,06-09-2025,0,487
Beed,07-09-2025,0.3,488
Beed,08-09-2025,0.2,488.2
